"reino","filo","classe","ordem","familia","genero","especie","subespecie","autor","latitude","longitude","datum","formato_original","precisao_da_coordenada","referencia_aproximacao","metodologia_aproximacao","descricao_do_metodo_aproximacao","taxon_citado","presenca_atual","tipo_registro","dia","mes","ano","hora","dia_fim","mes_fim","ano_fim","endemica_brasil","data_e_ano_desconhecidos","localidade","caracteristica_da_localidade","uc_federais","uc_nao_federais","rppn","pais","estado","municipio","ambiente","habitat","elevacao_minima","elevacao_maxima","profundidade_minima","profundidade_maxima","identificador","data_identificacao","identificacao_incerta","tombamento","instituicao_tombamento","compilador","data_compilacao","revisor","data_revisao","validador","data_validacao","autor_registro","referencia_bibliografica","base_dados","id_origem","observacao"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-17.42357","-53.4837599999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Mato Grosso","Alto Araguaia","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","581","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-17.55908","-52.67492","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Goias","Mineiros","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","569","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-19.9666999999999","-41.2167","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Espirito Santo","Afonso Claudio","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","555","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-10.1999999999999","-56.6","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Mato Grosso","Alta Floresta","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","578","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-12.94","-51.82","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Mato Grosso","Ribeirao Cascalheira","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","594","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-14.8332999999999","-52.5666999999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Mato Grosso","Nova Xavantina","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","587","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-15.10068","-55.56035","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Mato Grosso","Chapada dos Guimaraes","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","582","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-15.41932","-55.88288","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","PARNA da Chapada dos Guimaraes","AREA DE PROTECAO AMBIENTAL DA CHAPADA DOS GUIMARAES","","Brasil","Mato Grosso","Cuiaba","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","584","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-17.9779599999999","-47.7185899999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Goias","Catalao","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","561","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-20.2580999999999","-42.0336","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Minas Gerais","Manhuacu","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","597","Base de dados ciclo 1, GC"
