"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Tropidodryas striaticeps"	"Squamata"	"Serpentes"	"Colubridae"	"Tropidodryas"	"Cope"	1870	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	10	150	20.9	195.3	0.2	"No"	NA	"Carnivorous"	"Amphibians, birds, reptiles"	"Diurnal"	"Black/Brown"	"Banded/blotched"	NA	"round (or oval)"	"rear-fanged"	NA	107.6	1240	NA	NA	NA	NA	NA	"oviparous"	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidophis grapiuna"	"Squamata"	"Serpentes"	"Tropidophiidae"	"Tropidophis"	"Curcio, Sales-Nunes, Suzart Argolo, Skuk & Rodrigues"	2012	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	NA	NA	NA	NA	0.2	"No"	"No"	"Carnivorous"	"Amphibians, reptiles "	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	NA	"non-fanged"	NA	11.3	324	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Vulnerable"	"Unknown"	NA
"Tropidophis paucisquamis"	"Squamata"	"Serpentes"	"Tropidophiidae"	"Tropidophis"	"Müller"	1901	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	NA	NA	NA	NA	0.2	"No"	"No"	"Carnivorous"	"Amphibians, reptiles "	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	NA	"non-fanged"	NA	20.6	NA	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Tropidophis preciosus"	"Squamata"	"Serpentes"	"Tropidophiidae"	"Tropidophis"	"Curcio, Sales-Nunes, Suzart Argolo, Skuk & Rodrigues"	2012	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Grassland/Savanna"	NA	NA	NA	NA	0.3	"No"	"No"	"Carnivorous"	"Amphibians, reptiles "	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	NA	"non-fanged"	NA	30.8	NA	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Tropidurus callathelys"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Harvey & Gutberlet"	1998	"No"	"Neotropic"	"Saxicolous"	"Forest/Savanna/Rocky"	NA	NA	NA	NA	12.21	"No"	"No"	"Carnivorous"	"Insects"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	33.9	NA	98	65.4	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	34.2	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus catalanensis"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Gudynas & Skuk"	1983	"No"	"Neotropic"	"Saxicolous"	"Forest/Rocky"	550	560	19.68	3661.3	20.36	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	77.6	NA	132.4	80	NA	31.7	NA	"oviparous"	NA	6.2	NA	NA	NA	NA	NA	36.1	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus chromatops"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Harvey & Gutberlet"	1998	"No"	"Neotropic"	"Saxicolous"	"Forest/Rocky/Savanna/Shrubland"	630	660	NA	NA	12	"No"	"No"	"Carnivorous"	"Arthropods (almost noAnts, HarveyAnd Gutberlet 1998)"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	45.7	NA	109	75.2	NA	NA	NA	"oviparous"	NA	4.5	4	5	NA	NA	NA	31.5	NA	NA	"Yes"	"Least Concern"	"Decreasing"	NA
"Tropidurus cocorobensis"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Rodrigues"	1987	"No"	"Neotropic"	"Terrestrial"	"Savanna"	310	800	23.15	1454.7	39.68	"No"	"No"	"Omnivorous"	"cactus fruit (XavierAnd Dias 2015, XavierAnd Dias 2017)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	16.2	NA	74.6	62.6	NA	24.1	NA	"oviparous"	NA	3	2	4	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus erythrocephalus"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Rodrigues"	1987	"No"	"Neotropic"	"Saxicolous"	"Forest/Rocky/Shrubland"	NA	NA	NA	NA	35.2	"No"	"No"	NA	NA	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	22.4	NA	84.2	64.1	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Vulnerable"	"Unknown"	NA
"Tropidurus etheridgei"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Cei"	1982	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Savanna"	1200	1300	21.57	2806	17.33	"No"	"No"	"Omnivorous"	"Insects / omnivorous (Dutra etAl. 2011) / 3% fruit by occurrence (Cruz etAl. 1998) /Arthropods, 1.4% [lants (Avila etAl. 2008)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	52.5	NA	115	61.6	NA	26.5	NA	"oviparous"	NA	5.3	3	9	NA	NA	NA	35.8	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus helenae"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Manzani & Abe"	1990	"No"	"Neotropic"	"Saxicolous"	"Savanna"	NA	NA	NA	NA	30.39	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	13.5	NA	70	NA	NA	NA	NA	"oviparous"	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus hispidus"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Spix"	1825	"No"	"Neotropic"	"Arboreal/Saxicolous/Terrestrial"	"Rocky/Savanna"	20	1420	24.92	935.3	23.02	"No"	"No"	"Omnivorous"	"Arthropods (e.g., Ferreira etAl. 2017/ Omnivorous (CooperAnd Vitt 2002) /ArthropodsAnd some plants (Hoogmoed 1973)/ArthropodsAnd frogs (VittAnd Zani 1998), 50.5% plants, the restArthropods (Van Sluys etAl. 2004), invertebratesAnd frogs,Also fruit in oneArea (Vitt etAl. 1996), mostly leaves,Also invertebrates (Kolodiuk etAl. 2010), see values in Dutra etAl. 2011 Table 5; seeAlso RibeiroAnd Freire 2011, see Gomes etAl. 2015,ArthropodsAnd plants (Ferreira etAl. 2017)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	2	95.5	NA	139.1	83.8	NA	28.1	NA	"oviparous"	"GSD (XX/XY)"	6.9	1	14	2.5	NA	NA	34.1	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Tropidurus hygomi"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Reinhardt & Lütken"	1862	"No"	"Neotropic"	"Terrestrial"	"Forest/Shrubland"	60	70	NA	NA	18.82	"No"	"No"	"Carnivorous"	"young of own species (Dos Reis Dias, E. J.And C. F. D. Rocha. 2004. Tropidurus hygomi (NCN). Juvenile predation. Herpetological Review. 35 (4):398-399.),Arthropods, mostly insects (Travassos etAl. 2015),A fruit (XavierAnd Dias 2015, XavierAnd Dias 2017), Coleodactylus meridionalis (Alcantara etAl. 2015)"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	19.5	NA	80	54	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	35.4	NA	NA	"Yes"	"Vulnerable"	"Decreasing"	NA
"Tropidurus imbituba"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Kunz & Borges-Martins"	2013	"No"	"Neotropic"	"Arboreal/Saxicolous"	"Forest/Grassland"	NA	NA	NA	NA	20.71	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	67.6	NA	125.8	83.1	NA	NA	NA	"oviparous"	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Critically Endangered"	"Unknown"	NA
"Tropidurus insulanus"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Rodrigues"	1987	"No"	"Neotropic"	"Saxicolous"	"Savanna"	310	320	NA	NA	10.85	"No"	"No"	NA	NA	NA	NA	NA	"AMB"	NA	"non-fanged"	NA	24	NA	86.2	67.3	NA	NA	NA	"oviparous"	NA	3.8	3	5	NA	NA	NA	34.5	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus itambere"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Rodrigues"	1987	"No"	"Neotropic"	"Arboreal/Saxicolous/Terrestrial"	"Savanna"	680	1050	NA	NA	18.72	"No"	"No"	"Carnivorous"	"Arthropods (mainlyAntsAnd termites, 4% vertebrates, FariaAndAraujo 2004), to 5.5 % plants (Dutra etAl. 2011)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	30.9	NA	95	65	NA	NA	NA	"oviparous"	NA	3.7	1	8	NA	NA	NA	32.5	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus jaguaribanus"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Passos, Lima & Borges-Nojosa"	2011	"No"	"Neotropic"	"Saxicolous/Terrestrial"	"Rocky/Shrubland"	460	470	NA	NA	36.93	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	38.9	NA	103.4	79.6	NA	25.5	NA	"oviparous"	NA	1.7	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Tropidurus lagunablanca"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Carvalho"	2016	"No"	"Neotropic"	"Arboreal"	NA	110	210	NA	NA	17.74	"No"	"No"	"Carnivorous"	"\" termitesAnd wasps\""	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	89.1	NA	113.1	85	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Tropidurus montanus"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Rodrigues"	1987	"No"	"Neotropic"	"Arboreal/Saxicolous/Terrestrial"	"Savanna"	NA	NA	21.52	1596.4	28.93	"No"	"No"	"Carnivorous"	"ArthropodsAnd 6.1% plants (Van Sluys etAl. 2004, Dutra etAl. 2011), Eurolophosaurus nanuzae (Reis etAl. 2017), seeAlso deAmorim etAl. 2017"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	34.7	NA	98.7	72.3	NA	29.3	NA	"oviparous"	NA	3.5	1	6	NA	NA	NA	33.2	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Tropidurus mucujensis"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Rodrigues"	1987	"No"	"Neotropic"	"Saxicolous"	"Savanna"	NA	NA	NA	NA	26.2	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	16.6	NA	75.3	63	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Tropidurus oreadicus"	"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Rodrigues"	1987	"No"	"Neotropic"	"Arboreal/Saxicolous/Terrestrial"	"Forest/Savanna"	0	1050	NA	NA	16.5	"No"	"No"	"Omnivorous"	"Arthropods (mainlyAntsAnd termites, 3% plants, 0.5% vertebrates, FariaAndAraujo 2004) / Omnivorous (CooperAnd Vitt 2002, Dutra etAl. 2011)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	55	NA	117	77.5	NA	NA	NA	"oviparous"	NA	4.4	1	8	NA	NA	NA	35.5	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
