"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Atractus akerios"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Melo-Sampaio, Passos, Prudente, Venegas & Torres-Carvajal"	2021	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Atractus albuquerquei"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Cunha &  Nascimento"	1983	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest/Savanna"	287	1112	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	87.5	780	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus alphonsehogei"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Cunha &  Nascimento"	1983	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	5.1	310	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus altagratiae"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos & Fernandes"	2008	"No"	"Neotropic"	NA	"Forest"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	11.8	350	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus badius"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Boie"	1827	"No"	"Neotropic"	"Terrestrial"	"Forest"	0	1402	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	19.8	640	415	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus boimirim"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Prudente & Lynch"	2016	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Atractus caete"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Fernandes, Bérnils & Moura-Leite"	2010	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	17.4	408	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Atractus caxiuana"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Costa Prudente & Santos-Costa"	2006	"No"	"Neotropic"	NA	"Forest"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	7.2	289	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Atractus collaris"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Peracca"	1897	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	6.1	300	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Atractus dapsilis"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Melo-Sampaio, Passos, Fouquet, Costa-Prudente & Torres-Carvajal"	2019	"No"	"Neotropic"	"Cryptic/Fossorial"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Atractus edioi"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Da Silva, Rodrigues Silva, Ribeiro, Souza & Do Amaral Souza"	2005	"No"	"Neotropic"	"Cryptic/Fossorial"	"Savanna"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	15.5	390	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Atractus elaps"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Günther"	1858	"No"	"Neotropic"	"Fossorial"	"Forest"	0	1200	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	52.5	631	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus emmeli"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Boettger"	1888	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	8.2	380	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus flammigerus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Boie"	1827	"No"	"Neotropic"	"Terrestrial"	"Forest"	362	1402	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"subcircular "	"rear-fanged"	NA	16.5	600	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus francoi"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Fernandes, Bérnils & Moura-Leite"	2010	"No"	"Neotropic"	NA	"Forest"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	31.3	515	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus guentheri"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Wucherer"	1861	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	26.1	479	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Near Threatened"	"Unknown"	NA
"Atractus hoogmoedi"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Prudente & Passos"	2010	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest"	NA	NA	NA	NA	0.7	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	4.9	248	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Critically Endangered"	"Unknown"	NA
"Atractus insipidus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Roze"	1961	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	4.3	480	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Atractus latifrons"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Günther"	1868	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	90	500	23.9	67.4	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"subcircular "	"rear-fanged"	NA	52.5	700	NA	NA	NA	NA	NA	"oviparous"	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Atractus maculatus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Günther"	1858	"No"	"Neotropic"	NA	"Forest"	0	650	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	18.1	415	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus major"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Boulenger"	1894	"No"	"Neotropic"	"Terrestrial"	"Forest/Grassland/Shrubland"	200	1200	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	95.8	800	403	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Atractus natans"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Hoogmoed & Prudente"	2003	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest/Savanna"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	21	440	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus nawa"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Melo-Sampaio, Passos, Prudente, Venegas & Torres-Carvajal"	2021	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Atractus pantostictus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Fernandes & Puorto"	1993	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest/Savanna"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	41.9	300	269	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus paraguayensis"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Werner"	1924	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	37.9	555	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus poeppigi"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Jan"	1862	"No"	"Neotropic"	"Terrestrial"	"Forest"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	29.5	503	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus potschi"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Fernandes"	1995	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest/Shrubland"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	17.4	408	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus reticulatus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Boulenger"	1885	"No"	"Neotropic"	"Fossorial"	"Forest/Grassland/Savanna"	362	1402	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	20.7	437	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Atractus riveroi"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Roze"	1961	"No"	"Neotropic"	NA	"Forest"	944	1800	NA	NA	0.7	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	29.1	500	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus ronnie"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Fernandes & Borges-Nojosa"	2007	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest"	NA	NA	NA	NA	0.9	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	11.1	342	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Atractus serranus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Amaral"	1930	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	116.8	865	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Vulnerable"	"Decreasing"	NA
"Atractus snethlageae"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Cunha &  Nascimento"	1983	"No"	"Neotropic"	"Terrestrial"	"Forest"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	72.8	718	282.5	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus spinalis"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Teixeira Jr, Recoder, De Sena, Dal Vechio, Arruda-Pinto, Mendonça, Cassimiro & Rodrigues"	2013	"No"	"Neotropic"	NA	"Rocky/Savanna"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	8.5	308	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Atractus stygius"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Azevedo, Nogueira, Fernandes & Sawaya"	2019	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Atractus surucucu"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Prudente"	2008	"No"	"Neotropic"	"Cryptic/Fossorial"	"Savanna"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	18.5	418	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Atractus tartarus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Prudente & Lynch"	2016	"No"	"Neotropic"	NA	NA	200	200	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Atractus thalesdelemai"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Passos, Fernandes & Zanella"	2005	"No"	"Neotropic"	"Fossorial"	"Grassland"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	18.6	419	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Atractus torquatus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Duméril, Bibron  & Duméril"	1854	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	0	600	24.7	53.1	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	82.4	754	NA	NA	NA	NA	NA	"oviparous"	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Atractus trefauti"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Melo-Sampaio, Passos, Fouquet, Costa-Prudente & Torres-Carvajal"	2019	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Atractus trihedrurus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Amaral"	1926	"No"	"Neotropic"	"Terrestrial"	"Forest"	323	1252	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	207.4	1085	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus trilineatus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Wagler"	1828	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	0	200	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	11.8	350	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Atractus zebrinus"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Jan"	1862	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	323	1252	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	56.3	649	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Atractus zidoki"	"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Gasc & Rodrigues"	1979	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	362	1402	NA	NA	0.4	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	8	300	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bachia bresslaui"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Amaral"	1935	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Savanna"	295	972	NA	NA	17.74	"No"	"No"	"Carnivorous"	"arthropods (Ramos-Pallares etAl. 2014)"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	6	NA	104.2	NA	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Vulnerable"	"Decreasing"	NA
"Bachia cacerensis"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Castrillon & Strussman"	1998	"No"	"Neotropic"	"Cryptic/Fossorial"	"Savanna"	NA	NA	NA	NA	14.52	"No"	"No"	"Carnivorous"	"Insects/arthropods (CastrillonAnd Strussman 1998)"	NA	NA	NA	NA	NA	"non-fanged"	NA	3.4	NA	82.3	66.2	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Bachia didactyla"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"De Freitas, Strüssmann, De Carvalho, Kawashita-Ribeiro & Mott"	2011	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Savanna"	NA	NA	NA	NA	12.39	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	4	NA	88.6	NA	NA	NA	NA	"oviparous"	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Bachia dorbignyi"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Duméril & Bibron"	1839	"No"	"Neotropic"	"Cryptic/Fossorial"	"Forest/Savanna"	107	695	NA	NA	12.78	"No"	"No"	"Carnivorous"	"arthropods (Ramos-Pallares etAl. 2014)"	NA	NA	NA	NA	NA	"non-fanged"	NA	3.2	NA	80	71	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bachia flavescens"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Bonnaterre"	1789	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	80	940	NA	NA	14.24	"No"	"No"	"Carnivorous"	"Insects"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	3.2	NA	80	67.5	NA	32	NA	"oviparous"	NA	1	1	1	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bachia geralista"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Teixeira, Sousa-Recoder, Camacho, De Sena, Navas & Rodrigues"	2013	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Savanna"	670	750	NA	NA	25.89	"No"	"No"	NA	NA	"Cathemeral"	NA	NA	NA	NA	"non-fanged"	NA	5.6	NA	101.3	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Bachia micromela"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Rodrigues, Pavan & Curcio"	2007	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest/Savanna"	NA	NA	NA	NA	15.25	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	3.6	NA	85	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Bachia oxyrhina"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Rodrigues, Camacho, Sales-Nunes, Sousa-Recoder, Teixeira Jr., Valdujo, Ghellere, Mott & Nogueira"	2008	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	18.38	"No"	"No"	"Carnivorous"	"Insects"	NA	NA	NA	NA	NA	"non-fanged"	NA	1.5	NA	80	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Bachia panoplia"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Thomas"	1965	"No"	"Neotropic"	"Fossorial"	"Forest"	92	597	NA	NA	12.29	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	3.6	NA	85	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bachia peruana"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Werner"	1901	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	115	677	NA	NA	12.34	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	6.5	NA	107	NA	NA	35	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bachia psamophila"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Rodrigues, Pavan & Curcio"	2007	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Shrubland"	NA	NA	NA	NA	14.95	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	2.6	NA	74	71	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Critically Endangered"	"Decreasing"	NA
"Bachia pyburni"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Kizirian & Mcdiarmid"	1998	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	50	300	NA	NA	10.32	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	4.3	NA	90.7	82.3	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Bachia remota"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Ribeiro-Júnior, Da Silva & Lima"	2016	"No"	"Neotropic"	"Fossorial/Terrestrial"	NA	NA	NA	NA	NA	19.38	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	3.8	NA	86.8	86.8	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Bachia scaea"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Teixeira, Dal Vechio, Sales-Nunes, Mollo-Neto, Moreira-Lobo, Storti, Junqueira-Gaiga, Freire-Dias & Rodrigues"	2013	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	90	130	NA	NA	9.71	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	2.2	NA	69	NA	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
