"order"	"suborder"	"family"	"species"	"year"	"biomes"	"cerrado_sp"	"cerrado_endemic"
"Squamata"	"Sauria"	"Teiidae"	"Ameiva parecis"	2003	"Amazônia, Cerrado"	"yes"	"yes"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula cipoensis"	2014	"Cerrado"	"yes"	"yes"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula confusioniba"	2011	"Caatinga, Cerrado"	"yes"	"no"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula jalapensis"	2009	"Cerrado"	"yes"	"yes"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula mumbuca"	2003	"Cerrado"	"yes"	"yes"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula nativo"	1997	"Mata Atlântica"	"no"	"no"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula nigrigula"	2011	"Caatinga, Cerrado"	"yes"	"no"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula ocellifera"	1825	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula pyrrhogularis"	2013	"Caatinga"	"yes"	"no"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula xacriaba"	2014	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops amoipira"	2002	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops arenensis"	2015	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops brongersmianus"	1976	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho"	"yes"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops caetanoi"	2022	NA	"no"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops illusorium"	2022	NA	"no"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops martis"	2022	NA	"no"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops minuisquamus"	1979	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops montanum"	2022	NA	"no"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops paucisquamus"	1979	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops reticulatus"	1758	"Amazônia, Caatinga, Cerrado, Sistema Costeiro-Marinho"	"yes"	"no"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops yonenagae"	1991	"Caatinga"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Amnesteophis melanauchen"	1863	NA	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Amnisiophis amoenus"	1863	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena absaberi"	2001	"Pantanal"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena acangaoba"	2020	"Caatinga"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena acrobeles"	2009	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena alba"	1758	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena amethysta"	2024	NA	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena anaemariae"	1997	"Cerrado, Mata Atlântica"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena anomala"	1914	"Amazônia, Caatinga, Cerrado"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena arda"	2003	"Cerrado"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena arenaria"	1991	"Caatinga"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena arenicola"	2019	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena bahiana"	1964	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena bedai"	1991	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena bilabialata"	1972	"Amazônia, Cerrado"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena brasiliana"	1865	"Amazônia, Cerrado"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena brevis"	2009	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena caetitensis"	2018	"Caatinga"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena caiari"	2014	"Amazônia"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena camura"	1862	"Cerrado, Pantanal"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena carli"	2010	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena carvalhoi"	1965	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena crisae"	1997	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena cuiabana"	2001	"Amazônia, Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena cunhai"	1991	"Amazônia"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena darwinii"	1839	"Cerrado, Mata Atlântica, Pampa"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena dubia"	1924	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena eleutheria"	2026	NA	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena filiformis"	2016	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena frontalis"	1991	"Amazonia, Caatinga, Cerrado"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena fuliginosa"	1758	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena hastata"	1991	"Caatinga, Cerrado"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena heathi"	1936	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena hiata"	2002	"Pantanal"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena hogei"	1950	"Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena hoogmoedi"	2018	"Amazônia"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena ignatiana"	1991	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena kingii"	1833	"Mata Atlântica, Pampa"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena kiriri"	2018	"Caatinga"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena kraoh"	1971	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena leeseri"	1964	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena leucocephala"	1878	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena littoralis"	2014	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena longinqua"	2019	"Caatinga"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena maranhensis"	2012	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena mebengokre"	2019	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena mertensii"	1881	"Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena metallurga"	2015	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena miringoera"	1971	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena mitchelli"	1923	"Amazônia"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena mongoyo"	2019	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena munoai"	1960	"Pampa"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena nana"	2019	"Mata Atlântica, Pampa"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena neglecta"	1936	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena nigricauda"	1966	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena persephone"	2014	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena pretrei"	1839	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena prunicolor"	1885	"Cerrado, Mata Atlântica, Pampa"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena ridleyi"	1890	"Mata Atlântica, Sistema Costeiro-Marinho"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena roberti"	1964	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena sanctaeritae"	1994	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena saxosa"	2003	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena silvestrii"	1902	"Amazônia, Cerrado, Pantanal"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena slevini"	1936	"Amazônia"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena steindachneri"	1881	"Amazônia, Cerrado, Pantanal"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena supernumeraria"	2009	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena talisiae"	1995	"Cerrado"	"yes"	"yes"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena tiaraju"	2019	"Mata Atlântica"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena tragorrhectes"	1971	"Amazônia"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena uroxena"	2008	"Caatinga"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena vanzolinii"	1963	"Amazônia"	"no"	"no"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena vermicularis"	1824	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"no"
"Squamata"	"Serpentes"	"Aniliidae"	"Anilius scytale"	1758	"Amazônia, Caatinga, Cerrado"	"yes"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis auratus"	1802	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis bombiceps"	1875	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis brasiliensis"	1970	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis chrysolepis"	1837	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis dissimilis"	1965	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis fuscoauratus"	1837	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis meridionalis"	1885	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"yes"
"Squamata"	"Sauria"	"Anolidae"	"Anolis nasofrontalis"	1933	"Mata Atlântica"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis neglectus"	2019	"Mata Atlântica"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis ortonii"	1868	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis phyllorhinus"	1945	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis planiceps"	1848	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis pseudotigrinus"	1933	"Mata Atlântica"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis punctatus"	1802	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis scypheus"	1864	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis sericeus"	1856	NA	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis tandai"	1995	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis trachyderma"	1875	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Anolidae"	"Anolis transversalis"	1851	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Anotosaura collaris"	1933	"Caatinga"	"no"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Anotosaura vanzolinia"	1974	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis adhara"	2018	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis albicollaris"	2002	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis arenaria"	1993	"Caatinga"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis assimilis"	1861	"Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis borellii"	1904	"Pantanal"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis cearensis"	1915	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis christineae"	2002	"Amazônia, Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis dimidiata"	1862	"Cerrado, Mata Atlântica, Pantanal"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis flavotorquata"	1854	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis gaboi"	1993	"Caatinga, Cerrado"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis goiasensis"	1942	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis intermedia"	1898	"Amazônia, Cerrado, Pantanal"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis kikoi"	2018	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis lineata"	1887	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis longicaudata"	1921	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis nelsonjorgei"	2004	"Amazônia, Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis nigrolineata"	1869	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis nigroterminata"	1896	"Amazônia, Cerrado, Pantanal"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis phillipsae"	1999	"Amazônia"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis polylepis"	1922	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis pymi"	1903	NA	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis quinquelineata"	1896	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis quirogai"	1998	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis rondoni"	1925	NA	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis sanctaeritae"	1924	"Cerrado, Mata Atlântica"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis serrana"	2006	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis striata"	2004	"Amazônia"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis tenuis"	1927	NA	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis thalesdelemai"	2016	"Caatinga"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis vittata"	1887	"Cerrado"	"yes"	"yes"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura kockii"	1904	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura reticulata"	1881	"Amazônia, Cerrado"	"yes"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura synaptolepis"	1992	NA	"no"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura versteegii"	1904	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Scincidae"	"Aspronema dorsivittatum"	1862	"Cerrado, Mata Atlântica, Pampa"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus aboiporu"	2019	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus akerios"	2021	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus albuquerquei"	1983	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus alphonsehogei"	1983	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus altagratiae"	2008	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus badius"	1827	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus boimirim"	2016	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus caete"	2010	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus caxiuana"	2006	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus collaris"	1897	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus dapsilis"	2019	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus edioi"	2005	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus elaps"	1858	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus emmeli"	1888	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus flammigerus"	1827	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus francoi"	2010	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus guentheri"	1861	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus hoogmoedi"	2010	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus insipidus"	1961	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus latifrons"	1868	"Amazônia, Cerrado, Pantanal"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus maculatus"	1858	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus major"	1894	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus natans"	2003	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus nawa"	2021	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus pantostictus"	1993	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus paraguayensis"	1924	"Mata Atlântica, Pampa"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus poeppigi"	1862	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus potschi"	1995	"Caatinga, Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus reticulatus"	1885	"Cerrado, Mata Atlântica, Pampa"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus riveroi"	1961	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus ronnie"	2007	"Caatinga"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus serranus"	1930	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus snethlageae"	1983	"Amazônia, Cerrado"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus spinalis"	2013	"Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus stygius"	2019	"Amazônia, Cerrado"	"yes"	"yes"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus surucucu"	2008	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus tartarus"	2016	"Amazônia, Cerrado"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus thalesdelemai"	2005	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus torquatus"	1854	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus trefauti"	2019	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus trihedrurus"	1926	"Mata Atlântica"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus trilineatus"	1828	"Amazônia"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus zebrinus"	1862	"Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus zidoki"	1979	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia bresslaui"	1935	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"yes"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia cacerensis"	1998	"Pantanal"	"yes"	"yes"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia didactyla"	2011	"Amazônia, Cerrado"	"yes"	"yes"
