"order"	"family"	"species"	"biomes"	"cerrado_sp"
"Squamata"	"Dipsadidae"	"Tomodon dorsatus"	"Cerrado, Mata Atlântica, Pampa"	"yes"
"Testudines"	"Emydidae"	"Trachemys adiutrix"	"Amazônia, Caatinga, Cerrado"	"yes"
"Testudines"	"Emydidae"	"Trachemys dorbigni"	"Mata Atlântica, Pampa"	"no"
"Squamata"	"Mabuyidae"	"Trachylepis atlantica"	"Mata Atlântica, Sistema Costeiro-Marinho"	"no"
"Squamata"	"Gymnophthalmidae"	"Tretioscincus agilis"	"Amazônia"	"no"
"Squamata"	"Gymnophthalmidae"	"Tretioscincus oriximinensis"	"Amazônia"	"no"
"Squamata"	"Leptotyphlopidae"	"Trilepida brasiliensis"	"Caatinga, Cerrado, Pantanal"	"yes"
"Squamata"	"Leptotyphlopidae"	"Trilepida dimidiata"	"Amazônia"	"no"
"Squamata"	"Leptotyphlopidae"	"Trilepida fuliginosa"	"Amazônia, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Leptotyphlopidae"	"Trilepida jani"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Leptotyphlopidae"	"Trilepida koppesi"	"Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Leptotyphlopidae"	"Trilepida macrolepis"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Leptotyphlopidae"	"Trilepida salgueiroi"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Tropidodryas serra"	"Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Tropidodryas striaticeps"	"Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Tropidophiidae"	"Tropidophis grapiuna"	"Mata Atlântica"	"no"
"Squamata"	"Tropidophiidae"	"Tropidophis paucisquamis"	"Mata Atlântica"	"no"
"Squamata"	"Tropidophiidae"	"Tropidophis preciosus"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus callathelys"	"Amazônia"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus catalanensis"	"Mata Atlântica, Pampa"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus chromatops"	"Amazônia"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus cocorobensis"	"Caatinga"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus erythrocephalus"	"Caatinga"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus etheridgei"	"Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus helenae"	"Caatinga"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus hispidus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus hygomi"	"Mata Atlântica, Sistema Costeiro-Marinho"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus imbituba"	"Sistema Costeiro-Marinho"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus insulanus"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus itambere"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus jaguaribanus"	"Caatinga"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus lagunablanca"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus montanus"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus mucujensis"	"Caatinga"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus oreadicus"	"Amazônia, Caatinga, Cerrado, Pantanal"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus pinima"	"Caatinga"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus psammonastes"	"Caatinga, Cerrado"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus semitaeniatus"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Tropiduridae"	"Tropidurus sertanejo"	"Caatinga"	"no"
"Squamata"	"Tropiduridae"	"Tropidurus torquatus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Teiidae"	"Tupinambis cryptus"	"Amazônia"	"no"
"Squamata"	"Teiidae"	"Tupinambis cuzcoensis"	"Amazônia"	"no"
"Squamata"	"Teiidae"	"Tupinambis longilineus"	"Amazônia"	"no"
"Squamata"	"Teiidae"	"Tupinambis matipu"	"Amazônia, Cerrado, Pantanal"	"yes"
"Squamata"	"Teiidae"	"Tupinambis palustris"	"Mata Atlântica"	"no"
"Squamata"	"Teiidae"	"Tupinambis quadrilineatus"	"Amazônia, Cerrado, Pantanal"	"yes"
"Squamata"	"Teiidae"	"Tupinambis teguixin"	"Amazônia, Caatinga, Cerrado"	"yes"
"Squamata"	"Anomalepididae"	"Typhlophis squamosus"	"Amazônia"	"no"
"Squamata"	"Tropiduridae"	"Uracentron azureum"	"Amazônia"	"no"
"Squamata"	"Tropiduridae"	"Uracentron flaviceps"	"Amazônia"	"no"
"Squamata"	"Tropiduridae"	"Uranoscodon superciliosus"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Leiosauridae"	"Urostrophus vautieri"	"Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Gymnophthalmidae"	"Vanzosaura multiscutata"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Gymnophthalmidae"	"Vanzosaura rubricauda"	"Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Gymnophthalmidae"	"Vanzosaura savanicola"	"Cerrado"	"yes"
"Squamata"	"Mabuyidae"	"Mabuya altamazonica"	"Amazônia"	"no"
"Squamata"	"Mabuyidae"	"Mabuya bistriata"	"Amazônia"	"no"
"Squamata"	"Dipsadidae"	"Xenodon dorbignyi"	"Mata Atlântica, Pampa"	"no"
"Squamata"	"Dipsadidae"	"Xenodon guentheri"	"Mata Atlântica"	"no"
"Squamata"	"Dipsadidae"	"Xenodon histricus"	"Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Dipsadidae"	"Xenodon matogrossensis"	"Cerrado, Pantanal"	"yes"
"Squamata"	"Dipsadidae"	"Xenodon merremii"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"
"Squamata"	"Dipsadidae"	"Xenodon nattereri"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Xenodon neuwiedii"	"Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Dipsadidae"	"Xenodon pulcher"	"Pantanal"	"no"
"Squamata"	"Dipsadidae"	"Xenodon rabdocephalus"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Dipsadidae"	"Xenodon severus"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Dipsadidae"	"Xenodon werneri"	"Amazônia"	"no"
"Squamata"	"Dipsadidae"	"Xenopholis scalaris"	"Amazônia, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Xenopholis undulatus"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Dipsadidae"	"Xenopholis werdingorum"	"Cerrado, Pantanal"	"yes"
"Squamata"	"Colubridae"	"Xenoxybelis argenteus"	"Amazônia"	"no"
"Squamata"	"Dipsadidae"	"Zonateres lanei"	"Amazônia, Pantanal"	"no"
