"order"	"suborder"	"family"	"genus"	"species"	"year"	"author"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Procellosaurinus"	"Procellosaurinus tetradactylus"	"1991"	"RODRIGUES, 1991"
"Squamata"	"Serpentes"	"Colubridae"	"Pseudoboa"	"Pseudoboa coronata"	"1801"	"SCHNEIDER, 1801"
"Squamata"	"Serpentes"	"Colubridae"	"Pseudoboa"	"Pseudoboa haasi"	"1905"	"(BOETTGER, 1905)"
"Squamata"	"Serpentes"	"Colubridae"	"Pseudoboa"	"Pseudoboa martinsi"	"2008"	"ZAHER, OLIVEIRA & FRANCO, 2008"
"Squamata"	"Serpentes"	"Colubridae"	"Pseudoboa"	"Pseudoboa neuwiedii"	"1854"	"(DUMÉRIL, BIBRON & DUMÉRIL, 1854)"
"Squamata"	"Serpentes"	"Colubridae"	"Pseudoboa"	"Pseudoboa nigra"	"1854"	"(DUMÉRIL, BIBRON & DUMÉRIL, 1854)"
"Squamata"	"Serpentes"	"Colubridae"	"Pseudoboa"	"Pseudoboa serrana"	"1995"	"MORATO, MOURA-LEITE, PRUDENTE & BÉRNILS, 1995"
"Squamata"	"Serpentes"	"Colubridae"	"Pseudoeryx"	"Pseudoeryx plicatilis"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Sphaerodactylidae"	"Pseudogonatodes"	"Pseudogonatodes gasconi"	"2000"	"AVILA-PIRES & HOOGMOED, 2000"
"Squamata"	"Sauria"	"Sphaerodactylidae"	"Pseudogonatodes"	"Pseudogonatodes guianensis"	"1935"	"PARKER, 1935"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Psilops"	"Psilops mucugensis"	"2017"	"RODRIGUES, RECODER, TEIXEIRA JR, ROSCITO, GUERRERO, SALES-NUNES, FREITAS, FERNANDES, BOCCHIGLIERI, VECHIO, FORTES-LEITE, CAMPOS NOGUEIRA, DAMASCENO, MACHADO-PELLEGRINO, SUZART-ARGÔLO & AMARO, 2017"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Psilops"	"Psilops paeminosus"	"1991"	"(RODRIGUES, 1991)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Psilops"	"Psilops seductus"	"2017"	"RODRIGUES, RECODER, TEIXEIRA JR, ROSCITO, GUERRERO, SALES-NUNES, FREITAS, FERNANDES, BOCCHIGLIERI, VECHIO, FORTES-LEITE, CAMPOS NOGUEIRA, DAMASCENO, MACHADO-PELLEGRINO, SUZART-ARGÔLO & AMARO, 2017"
"Squamata"	"Serpentes"	"Colubridae"	"Psomophis"	"Psomophis genimaculatus"	"1885"	"(BOETTGER, 1885)"
"Squamata"	"Serpentes"	"Colubridae"	"Psomophis"	"Psomophis joberti"	"1884"	"(SAUVAGE, 1884)"
