"order"	"suborder"	"family"	"genus"	"species"	"year"	"author"
"Testudines"	NA	"Chelidae"	"Acanthochelys"	"Acanthochelys macrocephala"	"1984"	"(RHODIN, MITTERMEIER & MCMORRIS, 1984)"
"Testudines"	NA	"Chelidae"	"Acanthochelys"	"Acanthochelys radiolata"	"1820"	"(MIKAN, 1820)"
"Testudines"	NA	"Chelidae"	"Acanthochelys"	"Acanthochelys spixii"	"1835"	"(DUMÉRIL & BIBRON, 1835)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Acratosaura mentalis"	"1933"	"(AMARAL, 1933)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Acratosaura spinosa"	"2009"	"RODRIGUES, CASSIMIRO, DE FREITAS & SANTOS SILVA, 2009"
"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Adelphostigma occipitalis"	"1863"	"(JAN, 1863)"
"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Adelphostigma quadriocellata"	"2008"	"(SANTOS, DI-BERNARDO & DE LEMA, 2008)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Alexandresaurus"	"Alexandresaurus camacan"	"2007"	"RODRIGUES, PELLEGRINO, DIXO, VERDADE, PAVAN, ARGOLO & SITES, 2007"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus amazonius"	"1924"	"RUTHVEN, 1924"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus angulatus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus atriventris"	"1973"	"DUELLMAN, 1973"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus avilapiresae"	"2020"	"RIBEIRO-JÚNIOR, CHOUERI, LOBOS, VENEGAS, TORRES-CARVAJAL & WERNECK, 2020"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus brevifrontalis"	"1912"	"(BOULENGER, 1912)"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus buckleyi"	"1881"	"(O'SHAUGHNESSY, 1881)"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus collii"	"2020"	"RIBEIRO-JÚNIOR, CHOUERI, LOBOS, VENEGAS, TORRES-CARVAJAL & WERNECK, 2020"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus gansorum"	"2021"	"RIBEIRO-JÚNIOR, SÁNCHEZ-MARTÍNEZ, MORAES, COSTA DE OLIVEIRA, CARVALHO, CHOUERI, WERNECK & MEIRI, 2021"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus indigenorum"	"2021"	"RIBEIRO-JÚNIOR, SÁNCHEZ-MARTÍNEZ, MORAES, COSTA DE OLIVEIRA, CARVALHO, CHOUERI, WERNECK & MEIRI, 2021"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus meloi"	"2018"	"RIBEIRO-JÚNIOR, 2018"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus tapajosensis"	"2021"	"RIBEIRO-JÚNIOR, SÁNCHEZ-MARTÍNEZ, MORAES, COSTA DE OLIVEIRA, CARVALHO, CHOUERI, WERNECK & MEIRI, 2021"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus theodorusi"	"2020"	"RIBEIRO-JÚNIOR, MEIRI & FOUQET, 2020"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Amapasaurus"	"Amapasaurus tetradactylus"	"1970"	"CUNHA, 1970"
"Squamata"	"Sauria"	"Teiidae"	"Ameiva"	"Ameiva ameiva"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Teiidae"	"Ameiva"	"Ameiva jacuba"	"2013"	"GIUGLIANO, NOGUEIRA, VALDUJO, COLLEVATTI & COLLI, 2013"
"Squamata"	"Sauria"	"Teiidae"	"Ameiva"	"Ameiva parecis"	"2003"	"(COLLI, COSTA, GARDA, KOPP, MESQUITA, PÉRES, VALDUJO, VIEIRA & WIEDERHECKER, 2003)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula cipoensis"	"2014"	"ARIAS, CARVALHO, ZAHER & RODRIGUES, 2014"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula confusioniba"	"2011"	"(ARIAS, DE CARVALHO, RODRIGUES & ZAHER, 2011)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula jalapensis"	"2009"	"(COLLI, GIUGLIANO, MESQUITA & FRANCA, 2009)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula mumbuca"	"2003"	"(COLLI, CALDWELL, COSTA, GAINSBURY, GARDA, MESQUITA, FILHO, SOARES, SILVA, VALDUJO, VIEIRA, VITT, WERNECK, WIEDERHECKER & ZATZ, 2003)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula nativo"	"1997"	"(ROCHA, BERGALLO & PECCININI-SEALE, 1997)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula nigrigula"	"2011"	"(ARIAS, DE CARVALHO, RODRIGUES & ZAHER, 2011)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula ocellifera"	"1825"	"(SPIX, 1825)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula pyrrhogularis"	"2013"	"(BASTO DA SILVA & ÁVILA-PIRES, 2013)"
"Squamata"	"Sauria"	"Teiidae"	"Ameivula"	"Ameivula xacriaba"	"2014"	"ARIAS, TEXEIRA Jr., RECODER, CARVALHO, ZAHER & RODRIGUES, 2014"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops amoipira"	"2002"	"(RODRIGUES & JUNCÁ, 2002)"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops arenensis"	"2015"	"GRABOSKI, PEREIRA-FILHO, SILVA, COSTA PRUDENTE & ZAHER, 2015"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops brongersmianus"	"1976"	"(VANZOLINI, 1976)"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops caetanoi"	"2022"	"GRABOSKI, ARREDONDO, GRAZZIOTIN, GUERRA-FUENTES, SILVA, PRUDENTE, PINTO, RODRIGUES, BONATTO & ZAHER, 2022"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops illusorium"	"2022"	"GRABOSKI, ARREDONDO, GRAZZIOTIN, GUERRA-FUENTES, SILVA, PRUDENTE, PINTO, RODRIGUES, BONATTO & ZAHER, 2022"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops martis"	"2022"	"GRABOSKI, ARREDONDO, GRAZZIOTIN, GUERRA-FUENTES, SILVA, PRUDENTE, PINTO, RODRIGUES, BONATTO & ZAHER, 2022"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops minuisquamus"	"1979"	"(DIXON & HENDRICKS, 1979)"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops montanum"	"2022"	"GRABOSKI, ARREDONDO, GRAZZIOTIN, GUERRA-FUENTES, SILVA, PRUDENTE, PINTO, RODRIGUES, BONATTO & ZAHER, 2022"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops paucisquamus"	"1979"	"(DIXON & HENDRICKS, 1979)"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops reticulatus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Serpentes"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops yonenagae"	"1991"	"(RODRIGUES, 1991)"
"Squamata"	"Serpentes"	"Colubridae"	"Amnesteophis"	"Amnesteophis melanauchen"	"1863"	"(JAN, 1863)"
"Squamata"	"Serpentes"	"Colubridae"	"Amnisiophis"	"Amnisiophis amoenus"	"1863"	"(JAN, 1863)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena absaberi"	"2001"	"(STRÜSSMAN & CARVALHO, 2001)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena acangaoba"	"2020"	"RIBEIRO, GOMIDES & COSTA, 2020"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena acrobeles"	"2009"	"(RIBEIRO, CASTRO-MELLO & NOGUEIRA, 2009)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena alba"	"1758"	"LINNAEUS, 1758"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena amethysta"	"2024"	"RIBEIRO, SANTOS JR, MARTINS, OLIVEIRA, GRABOSKI, DA SILVEIRA, BENÍCIO, VAZ-SILVA, 2024"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena anaemariae"	"1997"	"VANZOLINI, 1997"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena anomala"	"1914"	"(BARBOUR, 1914)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena arda"	"2003"	"RODRIGUES, 2003"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena arenaria"	"1991"	"VANZOLINI, 1991"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena arenicola"	"2019"	"PEREZ & BORGES-MARTINS, 2019"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena bahiana"	"1964"	"VANZOLINI, 1964"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena bedai"	"1991"	"(VANZOLINI, 1991)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena bilabialata"	"1972"	"(STIMSON, 1972)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena brasiliana"	"1865"	"(GRAY, 1865)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena brevis"	"2009"	"STRÜSSMANN & MOTT, 2009"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena caetitensis"	"2018"	"ALMEIDA, FREITAS, SILVA, COSTA-VALVERDE, RODRIGUES, PIRES & MOTT, 2018"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena caiari"	"2014"	"TEIXEIRA JR, DA VECHIO, NETO & RODRIGUES, 2014"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena camura"	"1862"	"COPE, 1862"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena carli"	"2010"	"PINNA, MENDONÇA, BOCCHIGLIERI & FERNANDES, 2010"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena carvalhoi"	"1965"	"GANS, 1965"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena crisae"	"1997"	"VANZOLINI, 1997"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena cuiabana"	"2001"	"(STRÜSSMAN & CARVALHO, 2001)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena cunhai"	"1991"	"HOOGMOED & AVILA, 1991"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena darwinii"	"1839"	"DUMÉRIL & BIBRON, 1839"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena dubia"	"1924"	"MÜLLER, 1924"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena eleutheria"	"2026"	"PEREZ, LIMA-RAMOS, OLIVEIRA & ÁVILA, 2026"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena filiformis"	"2016"	"RIBEIRO, GOMES, RODRIGUES DA SILVA, CINTRA & DA SILVA, 2016"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena frontalis"	"1991"	"VANZOLINI, 1991"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena fuliginosa"	"1758"	"LINNAEUS, 1758"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hastata"	"1991"	"VANZOLINI, 1991"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena heathi"	"1936"	"SCHMIDT, 1936"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hiata"	"2002"	"MONTERO & CÉSPEDEZ, 2002"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hogei"	"1950"	"VANZOLINI, 1950"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena hoogmoedi"	"2018"	"OLIVEIRA, VAZ-SILVA, SANTOS-JR, GRABOSKI, TEIXEIRA JR, DAL VECHIO & RIBEIRO, 2018"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena ignatiana"	"1991"	"VANZOLINI, 1991"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena kingii"	"1833"	"(BELL, 1833)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena kiriri"	"2018"	"RIBEIRO, GOMIDES & COSTA, 2018"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena kraoh"	"1971"	"(VANZOLINI, 1971)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena leeseri"	"1964"	"GANS, 1964"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena leucocephala"	"1878"	"PETERS, 1878"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena littoralis"	"2014"	"ROBERTO, BRITO & ÁVILA, 2014"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena longinqua"	"2019"	"TEXEIRA JUNIOR, DAL VECHIO, RECODER, CASSIMIRO, SENA & RODRIGUES, 2019"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena maranhensis"	"2012"	"GOMES & MACIEL, 2012"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mebengokre"	"2019"	"RIBEIRO, SÁ, SANTOS JR, GRABOSKI, ZAHER, GUEDES, ANDRADE & VAZ-SILVA, 2019"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mertensii"	"1881"	"STRAUCH, 1881"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena metallurga"	"2015"	"COSTA, RESENDE, TEIXEIRA, VECHIO & CLEMENTE, 2015"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena miringoera"	"1971"	"VANZOLINI, 1971"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mitchelli"	"1923"	"PROCTER, 1923"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mongoyo"	"2019"	"TEXEIRA JUNIOR, DAL VECHIO, RECODER, CASSIMIRO, SENA & RODRIGUES, 2019"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena munoai"	"1960"	"KLAPPENBACH, 1960"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena nana"	"2019"	"PEREZ & BORGES-MARTINS, 2019"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena neglecta"	"1936"	"DUNN & PIATT, 1936"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena nigricauda"	"1966"	"GANS, 1966"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena persephone"	"2014"	"PINNA, MENDONÇA, BOCCHIGLIERI & FERNANDES, 2014"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena pretrei"	"1839"	"DUMÉRIL & BIBRON, 1839"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena prunicolor"	"1885"	"(COPE, 1885)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena ridleyi"	"1890"	"BOULENGER, 1890"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena roberti"	"1964"	"GANS, 1964"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena sanctaeritae"	"1994"	"VANZOLINI, 1994"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena saxosa"	"2003"	"(CASTRO-MELLO, 2003)"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena silvestrii"	"1902"	"BOULENGER, 1902"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena slevini"	"1936"	"SCHMIDT, 1936"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena steindachneri"	"1881"	"STRAUCH, 1881"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena supernumeraria"	"2009"	"MOTT, RODRIGUES & DOS SANTOS, 2009"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena talisiae"	"1995"	"VANZOLINI, 1995"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena tiaraju"	"2019"	"PEREZ & BORGES-MARTINS, 2019"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena tragorrhectes"	"1971"	"VANZOLINI, 1971"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena uroxena"	"2008"	"MOTT, RODRIGUES, DE FREITAS & SILVA, 2008"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena vanzolinii"	"1963"	"GANS, 1963"
"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena vermicularis"	"1824"	"WAGLER, 1824"
"Squamata"	"Serpentes"	"Aniliidae"	"Anilius"	"Anilius scytale"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis auratus"	"1802"	"DAUDIN, 1802"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis bombiceps"	"1875"	"COPE, 1875"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis brasiliensis"	"1970"	"VANZOLINI & WILLIAMS, 1970"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis chrysolepis"	"1837"	"DUMÉRIL & BIBRON, 1837"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis dissimilis"	"1965"	"WILLIAMS, 1965"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis fuscoauratus"	"1837"	"D’ORBIGNY, 1837"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis meridionalis"	"1885"	"BOETTGER, 1885"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis nasofrontalis"	"1933"	"AMARAL, 1933"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis neglectus"	"2019"	"PRATES, MELO-SAMPAIO, DE QUEIROZ, CARNAVAL, RODRIGUES & DRUMMOND, 2019"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis ortonii"	"1868"	"COPE, 1868"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis phyllorhinus"	"1945"	"MYERS & CARVALHO, 1945"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis planiceps"	"1848"	"TROSCHEL, 1848"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis porcatus"	"1840"	"GRAY, 1840"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis pseudotigrinus"	"1933"	"AMARAL, 1933"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis punctatus"	"1802"	"DAUDIN, 1802"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis sagrei"	"1837"	"DUMÉRIL & BIBRON, 1837"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis scypheus"	"1864"	"COPE, 1864"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis sericeus"	"1856"	"HALLOWELL, 1856"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis tandai"	"1995"	"AVILA-PIRES, 1995"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis trachyderma"	"1875"	"COPE, 1875"
"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Anolis transversalis"	"1851"	"DUMÉRIL, 1851"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Anotosaura"	"Anotosaura collaris"	"1933"	"AMARAL, 1933"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Anotosaura"	"Anotosaura vanzolinia"	"1974"	"DIXON, 1974"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis adhara"	"2018"	"FRANÇA, BARBO, SILVA-JÚNIOR, SILVA & ZAHER, 2018"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis albicollaris"	"2002"	"DE LEMA, 2002"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis arenaria"	"1993"	"RODRIGUES, 1993"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis assimilis"	"1861"	"(REINHARDT, 1861)"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis borellii"	"1904"	"PERACCA, 1904"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis cearensis"	"1915"	"GOMES, 1915"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis christineae"	"2002"	"DE LEMA, 2002"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis dimidiata"	"1862"	"(JAN, 1862)"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis flavotorquata"	"1854"	"(DUMÉRIL, BIBRON & DUMÉRIL, 1854)"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis gaboi"	"1993"	"RODRIGUES, 1993"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis goiasensis"	"1942"	"PRADO, 1942"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis intermedia"	"1898"	"KOSLOWSKY, 1898"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis kikoi"	"2018"	"SANTOS, ENTIAUSPE-NETO, SILVA-ARAÚJO, SOUZA, LEMA, STRÜSSMANN & ALBUQUERQUE, 2018"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis lineata"	"1887"	"COPE, 1887"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis longicaudata"	"1921"	"GOMES, 1921"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis nelsonjorgei"	"2004"	"DE LEMA & RENNER, 2004"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis nigrolineata"	"1869"	"(PETERS, 1869)"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis nigroterminata"	"1896"	"BOULENGER, 1896"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis phillipsae"	"1999"	"HARVEY, 1999"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis polylepis"	"1922"	"AMARAL, 1922"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis pymi"	"1903"	"BOULENGER, 1903"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis quinquelineata"	"1896"	"BOULENGER, 1896"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis quirogai"	"1998"	"GIRAUDO & SCROCCHI, 1998"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis rondoni"	"1925"	"AMARAL, 1925"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis sanctaeritae"	"1924"	"WERNER, 1924"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis serrana"	"2006"	"DE LEMA & RENNER, 2006"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis striata"	"2004"	"DE LEMA, 2004"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis tenuis"	"1927"	"RUTHVEN, 1927"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis thalesdelemai"	"2016"	"BORGES-NOJOSA, LIMA, BEZERRA & JAMES, 2016"
"Squamata"	"Serpentes"	"Colubridae"	"Apostolepis"	"Apostolepis vittata"	"1887"	"(COPE, 1887)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura"	"Arthrosaura kockii"	"1904"	"(LIDTH DE JEUDE, 1904)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura"	"Arthrosaura reticulata"	"1881"	"(O'SHAUGHNESSY, 1881)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura"	"Arthrosaura synaptolepis"	"1992"	"DONNELLY, MCDIARMID & MYERS, 1992"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Arthrosaura"	"Arthrosaura versteegii"	"1904"	"LIDTH DE JEUDE, 1904"
"Squamata"	"Sauria"	"Scincidae"	"Aspronema"	"Aspronema dorsivittatum"	"1862"	"(COPE, 1862)"
"Squamata"	"Serpentes"	"Colubridae"	"Atractus"	"Atractus aboiporu"	"2019"	"MELO-SAMPAIO, PASSOS, FOUQUET, COSTA-PRUDENTE & TORRES-CARVAJAL, 2019"
