"species"	"order"	"family"	"biomes_salve"	"cerrado_sp"	"limbs"	"reproduction"	"biomes_gard"	"habitat"	"activity"	"cerrado_endemic"	"phylogeny"	"suborder"	"genus"	"year"
"Amerotyphlops minuisquamus"	"Squamata"	"Typhlopidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"no"	"Serpentes"	"Amerotyphlops"	1979
"Amerotyphlops paucisquamus"	"Squamata"	"Typhlopidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Amerotyphlops"	1979
"Amerotyphlops reticulatus"	"Squamata"	"Typhlopidae"	"Amazônia, Caatinga, Cerrado, Sistema Costeiro-Marinho"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland/Savanna/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Amerotyphlops"	1758
"Amerotyphlops yonenagae"	"Squamata"	"Typhlopidae"	"Caatinga"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	NA	"no"	"no"	"Serpentes"	"Amerotyphlops"	1991
"Amnesteophis melanauchen"	"Squamata"	"Dipsadidae"	""	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Amnesteophis"	1863
"Amnisiophis amoenus"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Amnisiophis"	1863
"Amphisbaena absaberi"	"Squamata"	"Amphisbaenidae"	"Pantanal"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	2001
"Amphisbaena acangaoba"	"Squamata"	"Amphisbaenidae"	"Caatinga"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2020
"Amphisbaena acrobeles"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	2009
"Amphisbaena alba"	"Squamata"	"Amphisbaenidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland/Savanna/Shrubland"	"Cathemeral"	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1758
"Amphisbaena anaemariae"	"Squamata"	"Amphisbaenidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	1997
"Amphisbaena anomala"	"Squamata"	"Amphisbaenidae"	"Amazônia, Caatinga, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1914
"Amphisbaena arda"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Dry Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2003
"Amphisbaena arenaria"	"Squamata"	"Amphisbaenidae"	"Caatinga"	"no"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Shrubland"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1991
"Amphisbaena arenicola"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2019
"Amphisbaena bahiana"	"Squamata"	"Amphisbaenidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Forest"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1964
"Amphisbaena bedai"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	1991
"Amphisbaena bilabialata"	"Squamata"	"Amphisbaenidae"	"Amazônia, Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1972
"Amphisbaena brasiliana"	"Squamata"	"Amphisbaenidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1865
"Amphisbaena brevis"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	2009
"Amphisbaena caetitensis"	"Squamata"	"Amphisbaenidae"	"Caatinga"	"no"	"limbless"	NA	"Tropical & Subtropical Dry Broadleaf Forests"	NA	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	2018
"Amphisbaena caiari"	"Squamata"	"Amphisbaenidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	2014
"Amphisbaena camura"	"Squamata"	"Amphisbaenidae"	"Cerrado, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1862
"Amphisbaena carli"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	2010
"Amphisbaena carvalhoi"	"Squamata"	"Amphisbaenidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Savanna/Shrubland"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1965
"Amphisbaena crisae"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	1997
"Amphisbaena cuiabana"	"Squamata"	"Amphisbaenidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Dry Broadleaf Forests"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	2001
"Amphisbaena cunhai"	"Squamata"	"Amphisbaenidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1991
"Amphisbaena darwinii"	"Squamata"	"Amphisbaenidae"	"Cerrado, Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1839
"Amphisbaena dubia"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1924
"Amphisbaena filiformis"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	2016
"Amphisbaena frontalis"	"Squamata"	"Amphisbaenidae"	"Amazonia, Caatinga, Cerrado"	"yes"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Forest/Shrubland"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1991
"Amphisbaena fuliginosa"	"Squamata"	"Amphisbaenidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1758
"Amphisbaena hastata"	"Squamata"	"Amphisbaenidae"	"Caatinga, Cerrado"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1991
"Amphisbaena heathi"	"Squamata"	"Amphisbaenidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna/Shrubland"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1936
"Amphisbaena hiata"	"Squamata"	"Amphisbaenidae"	"Pantanal"	"no"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2002
"Amphisbaena hogei"	"Squamata"	"Amphisbaenidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1950
"Amphisbaena hoogmoedi"	"Squamata"	"Amphisbaenidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2018
"Amphisbaena ignatiana"	"Squamata"	"Amphisbaenidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1991
"Amphisbaena kingii"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	"Temperate Grasslands, Savannas & Shrublands"	"Grassland/Savanna"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1833
"Amphisbaena kiriri"	"Squamata"	"Amphisbaenidae"	"Caatinga"	"no"	"limbless"	NA	"Deserts & Xeric Shrublands"	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2018
"Amphisbaena kraoh"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	1971
"Amphisbaena leeseri"	"Squamata"	"Amphisbaenidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	1964
"Amphisbaena leucocephala"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1878
"Amphisbaena littoralis"	"Squamata"	"Amphisbaenidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Shrubland"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2014
"Amphisbaena longinqua"	"Squamata"	"Amphisbaenidae"	"Caatinga"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2019
"Amphisbaena maranhensis"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	2012
"Amphisbaena mebengokre"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	2019
"Amphisbaena mertensii"	"Squamata"	"Amphisbaenidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1881
"Amphisbaena metallurga"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2015
"Amphisbaena miringoera"	"Squamata"	"Amphisbaenidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1971
"Amphisbaena mitchelli"	"Squamata"	"Amphisbaenidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1923
"Amphisbaena mongoyo"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2019
"Amphisbaena munoai"	"Squamata"	"Amphisbaenidae"	"Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1960
"Amphisbaena nana"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2019
"Amphisbaena neglecta"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	1936
"Amphisbaena nigricauda"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Shrubland"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1966
"Amphisbaena persephone"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	2014
"Amphisbaena pretrei"	"Squamata"	"Amphisbaenidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Savanna/Shrubland"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1839
"Amphisbaena prunicolor"	"Squamata"	"Amphisbaenidae"	"Cerrado, Mata Atlântica, Pampa"	"yes"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland/Savanna"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1885
"Amphisbaena ridleyi"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica, Sistema Costeiro-Marinho"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1890
"Amphisbaena roberti"	"Squamata"	"Amphisbaenidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1964
"Amphisbaena sanctaeritae"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	1994
"Amphisbaena saxosa"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	2003
"Amphisbaena silvestrii"	"Squamata"	"Amphisbaenidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	1902
"Amphisbaena slevini"	"Squamata"	"Amphisbaenidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1936
"Amphisbaena steindachneri"	"Squamata"	"Amphisbaenidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"limbless"	NA	"Tropical & Subtropical Dry Broadleaf Forests"	"Savanna"	NA	"yes"	"no"	"Amphisbaenia"	"Amphisbaena"	1881
"Amphisbaena supernumeraria"	"Squamata"	"Amphisbaenidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Shrubland"	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2009
"Amphisbaena talisiae"	"Squamata"	"Amphisbaenidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Amphisbaenia"	"Amphisbaena"	1995
"Amphisbaena tiaraju"	"Squamata"	"Amphisbaenidae"	"Mata Atlântica"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	2019
"Amphisbaena tragorrhectes"	"Squamata"	"Amphisbaenidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1971
"Amphisbaena uroxena"	"Squamata"	"Amphisbaenidae"	"Caatinga"	"no"	"limbless"	NA	"Deserts & Xeric Shrublands"	"Savanna"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	2008
"Amphisbaena vanzolinii"	"Squamata"	"Amphisbaenidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Amphisbaenia"	"Amphisbaena"	1963
"Amphisbaena vermicularis"	"Squamata"	"Amphisbaenidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"no"	"yes"	"Amphisbaenia"	"Amphisbaena"	1824
"Anilius scytale"	"Squamata"	"Aniliidae"	"Amazônia, Caatinga, Cerrado"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna/Wetlands"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Anilius"	1758
"Anolis auratus"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Grassland/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1802
"Anolis bombiceps"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1875
