"family"	"genus"	"species"	"author"	"range"	"year"	"latitude"	"longitude"
"Dipsadidae"	"Erythrolamprus"	"Erythrolamprus maryellenae"	"(Dixon, 1985)"	"Partial"	1985	-16.3267	-48.9528
"Tropiduridae"	"Eurolophosaurus"	"Eurolophosaurus nanuzae"	"(Rodrigues, 1981)"	"Restricted"	1981	-19.1888	-43.645
"Phyllodactylidae"	"Gymnodactylus"	"Gymnodactylus amarali"	"Barbour, 1925"	"Partial"	1925	-9.1	-45.9167
"Phyllodactylidae"	"Gymnodactylus"	"Gymnodactylus guttulatus"	"Vanzolini, 1982"	"Restricted"	1982	-18.25	-43.6667
"Dipsadidae"	"Helicops"	"Helicops boitata"	"Moraes-da-Silva et al., 2019"	"Restricted"	2019	-16.4226	-56.6702
"Dipsadidae"	"Helicops"	"Helicops gomesi"	"Amaral, 1921"	"Partial"	1921	-22.7253	-47.6492
"Dipsadidae"	"Helicops"	"Helicops phantasma"	"Moraes-da-Silva et al., 2021 "	"Partial"	2021	-15.3597	-52.4689
"Gymnophthalmidae"	"Heterodactylus"	"Heterodactylus lundii"	"Reinhardt & Luetken, 1862"	"Restricted"	1862	-17.6667	-44.5833
"Hoplocercidae"	"Hoplocercus"	"Hoplocercus spinosus"	"Fitzinger, 1843"	"Partial"	1843	NA	NA
"Teiidae"	"Kentropyx"	"Kentropyx paulensis"	"Boettger, 1893"	"Partial"	1893	NA	NA
"Teiidae"	"Kentropyx"	"Kentropyx vanzoi"	"Gallagher & Dixon, 1980"	"Partial"	1980	-12.8167	-51.7667
"Amphisbaenidae"	"Leposternon"	"Leposternon cerradensis"	"Ribeiro et al., 2008"	"Restricted"	2008	-18.6634	-51.8716
"Amphisbaenidae"	"Leposternon"	"Leposternon maximus"	"Ribeiro et al., 2011"	"Restricted"	2011	-14.3537	-46.1941
"Amphisbaenidae"	"Leposternon"	"Leposternon mineiro"	"Ribeiro et al., 2018"	"Restricted"	2018	-17.7631	-46.1533
"Anomalepididae"	"Liotyphlops"	"Liotyphlops schubarti"	"Vanzolini, 1948"	"Restricted"	1948	-21.9961	-47.4258
"Anomalepididae"	"Liotyphlops"	"Liotyphlops taylori"	"Marra-Santos & Reis, 2018"	"Restricted"	2018	-15.65	-57.2121
"Dipsadidae"	"Lygophis"	"Lygophis paucidens"	"(Hoge, 1953)"	"Partial"	1953	-11.2167	-50.6667
"Scincidae"	"Maciola"	"Manciola guaporicola"	"(Dunn, 1935)"	"Partial"	1935	-15	-59.95
"Gymnophthalmidae"	"Micrablepharus"	"Micrablepharus atticolus"	"Rodrigues, 1996"	"Partial"	1996	-17.3	-53.2
"Elapidae"	"Micrurus"	"Micrurus brasiliensis"	"Roze, 1967"	"Partial"	1967	-12.1528	-44.99
"Elapidae"	"Micrurus"	"Micrurus tricolor"	"Hoge, 1956"	"Partial"	1956	-19.8	-57.1667
"Dipsadidae"	"Phalotris"	"Phalotris concolor"	"Ferrarezzi, 1994"	"Restricted"	1994	-16.8003	-42.8622
"Dipsadidae"	"Phalotris"	"Phalotris labiomaculatus"	"Lema, 2002"	"Restricted"	2002	-6.3383	-47.3992
"Dipsadidae"	"Phalotris"	"Phalotris lativittatus"	"Ferrarezzi, 1994"	"Partial"	1994	-21.6033	-48.3658
"Dipsadidae"	"Phalotris"	"Phalotris matogrossensis"	"Lema et al., 2005"	"Partial"	2005	-15.5961	-56.0967
"Dipsadidae"	"Phalotris"	"Phalotris mertensi"	"(Hoge, 1955)"	"Partial"	1955	-21.3108	-47.5656
"Dipsadidae"	"Phalotris"	"Phalotris multipunctatus"	"Puorto & Ferrarezzi, 1994"	"Partial"	1994	-22.2451	-48.0635
"Dipsadidae"	"Phalotris"	"Phalotris nasutus"	"(Gomes, 1915)"	"Partial"	1915	-19.75	-47.9167
"Dipsadidae"	"Philodryas"	"Philodryas livida"	"(Amaral, 1923)"	"Partial"	1923	-20.0833	-56.75
"Dipsadidae"	"Philodryas"	"Philodryas mattogrossensis"	"Koslowsky, 1898"	"Partial"	1898	-20.2406	-56.3783
"Gymnophthalmidae"	"Placosoma"	"Placosoma cipoense"	"Cunha, 1966"	"Restricted"	1966	-19.3333	-43.5333
