"order"	"family"	"genus"	"species"	"biomes"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus natans"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus nawa"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus pantostictus"	"Amazon, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus paraguayensis"	"Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus poeppigi"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus potschi"	"Caatinga, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus reticulatus"	"Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus riveroi"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus ronnie"	"Caatinga"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus serranus"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus snethlageae"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus spinalis"	"Cerrado"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus stygius"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus surucucu"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus tartarus"	"Amazon, Cerrado"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus thalesdelemai"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus torquatus"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus trefauti"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus trihedrurus"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus trilineatus"	"Amazon"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus zebrinus"	"Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Atractus"	"Atractus zidoki"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia bresslaui"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia cacerensis"	"Pantanal"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia didactyla"	"Amazon, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia dorbignyi"	"Amazon, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia flavescens"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia geralista"	"Cerrado"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia micromela"	"Cerrado"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia oxyrhina"	"Cerrado"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia panoplia"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia peruana"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia psamophila"	"Cerrado"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia pyburni"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia remota"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia scaea"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia scolecoides"	"Amazon, Cerrado"
"Squamata"	"Gymnophthalmidae"	"Bachia"	"Bachia trisanale"	"Amazon"
"Squamata"	"Boidae"	"Boa"	"Boa constrictor"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Dipsadidae"	"Boiruna"	"Boiruna maculata"	"Amazon, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Boiruna"	"Boiruna sertaneja"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrocophias"	"Bothrocophias hyoprora"	"Amazon"
"Squamata"	"Viperidae"	"Bothrocophias"	"Bothrocophias microphthalmus"	"Amazon"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops alcatraz"	""
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops alternatus"	"Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops atrox"	"Amazon, Cerrado"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops bilineatus"	"Amazon, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops brazili"	"Amazon"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops cotiara"	"Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops diporus"	"Atlantic Forest, Pampa"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops erythromelas"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops fonsecai"	"Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops germanoi"	""
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops insularis"	""
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops itapetiningae"	"Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops jabrensis"	"Caatinga"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops jararaca"	"Caatinga, Cerrado, Atlantic Forest, Pampa"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops jararacussu"	"Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops leucurus"	"Caatinga, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops lutzi"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops marajoensis"	"Amazon"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops marmoratus"	"Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops mattogrossensis"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops moojeni"	"Amazon, Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops muriciensis"	"Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops neuwiedi"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops oligobalius"	"Amazon"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops otavioi"	""
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops pauloensis"	"Cerrado, Atlantic Forest, Pantanal"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops pirajai"	"Atlantic Forest"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops pubescens"	"Atlantic Forest, Pampa"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops sazimai"	"Coastal-Marine"
"Squamata"	"Viperidae"	"Bothrops"	"Bothrops taeniatus"	"Amazon"
"Squamata"	"Mabuyidae"	"Brasiliscincus"	"Brasiliscincus agilis"	"Atlantic Forest"
"Squamata"	"Mabuyidae"	"Brasiliscincus"	"Brasiliscincus caissara"	"Atlantic Forest"
"Squamata"	"Mabuyidae"	"Brasiliscincus"	"Brasiliscincus heathi"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Dipsadidae"	"Caaeteboia"	"Caaeteboia amarali"	"Atlantic Forest"
"Squamata"	"Dipsadidae"	"Caaeteboia"	"Caaeteboia gaeli"	"Caatinga, Atlantic Forest"
