Species name (Binomial),GARD id,Valid (June 2026),Order,sub-order,Family,year described,Major Realm (Falaschi et al. 2023 designation),points 18June2026,only type2,Insularity,mappable (>0 points),have elevation data,max length (SVL or TL),female length  (SVL or TL),male length  (SVL or TL),"newborn size (SVL, Total length or mass)",Activity time data,substrate data,Mode of reproduction data,brood size data,Diet data,Foraging mode data,Length of Activity Season data,Population density data,Home range size data,"Body temperature in activity, data",Preferred temperature metadata,CtMin data,CtMax data,Yearly broods data,breeding age (data),Longevity data,IUCN (April 2026; classifiable?),"trend (IUCN, Apr 2026)",genetic data,score
Calliophis gracilis,R03430,yes,Squamata,Serpentes,Elapidae,1834,Oriental,3,no,mainland,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Calliophis haematoetron,R03431,yes,Squamata,Serpentes,Elapidae,2008,Oriental,3,no,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Calliophis intestinalis,R03432,yes,Squamata,Serpentes,Elapidae,1768,Oriental,200,no,mainland,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Calliophis maculiceps,R03433,yes,Squamata,Serpentes,Elapidae,1858,Oriental,63,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
Calliophis melanurus,R03434,yes,Squamata,Serpentes,Elapidae,1802,Oriental,37,no,mainland,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Calliophis nigrescens,R03435,yes,Squamata,Serpentes,Elapidae,1862,Oriental,57,no,mainland,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Calliophis nigrotaeniatus,R12248,yes,Squamata,Serpentes,Elapidae,1863,Oriental,20,no,mainland,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Calliophis philippinus,R11777,yes,Squamata,Serpentes,Elapidae,1864,Oriental,25,no,insular endemic,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Calliophis salitan,R11583,yes,Squamata,Serpentes,Elapidae,2018,Oriental,4,no,insular endemic,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Calliophis suluensis,R11778,yes,Squamata,Serpentes,Elapidae,1891,Oriental,2,no,insular endemic,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
