Species name (Binomial),GARD id,Valid (June 2026),Order,sub-order,Family,year described,Major Realm (Falaschi et al. 2023 designation),points 18June2026,only type2,Insularity,mappable (>0 points),have elevation data,max length (SVL or TL),female length  (SVL or TL),male length  (SVL or TL),"newborn size (SVL, Total length or mass)",Activity time data,substrate data,Mode of reproduction data,brood size data,Diet data,Foraging mode data,Length of Activity Season data,Population density data,Home range size data,"Body temperature in activity, data",Preferred temperature metadata,CtMin data,CtMax data,Yearly broods data,breeding age (data),Longevity data,IUCN (April 2026; classifiable?),"trend (IUCN, Apr 2026)",genetic data,score
Hebius craspedogaster,R06380,yes,Squamata,Serpentes,Colubridae (Natricinae),1899,Oriental,36,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Hebius deschauenseei,R06381,yes,Squamata,Serpentes,Colubridae (Natricinae),1934,Oriental,13,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
Hebius flavifrons,R06382,yes,Squamata,Serpentes,Colubridae (Natricinae),1887,Oriental,6,no,insular endemic,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Hebius frenatus,R06383,yes,Squamata,Serpentes,Colubridae (Natricinae),1923,Oriental,3,no,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Hebius gilhodesi,R13356,yes,Squamata,Serpentes,Colubridae (Natricinae),1890,Oriental,18,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Hebius groundwateri,R06384,yes,Squamata,Serpentes,Colubridae (Natricinae),1922,Oriental,1,yes,mainland,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Hebius igneus,R12276,yes,Squamata,Serpentes,Colubridae (Natricinae),2021,Oriental,6,no,mainland,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Hebius inas,R06385,yes,Squamata,Serpentes,Colubridae (Natricinae),1901,Oriental,7,no,mainland,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Hebius ishigakiensis,R06386,yes,Squamata,Serpentes,Colubridae (Natricinae),1960,Palearctic,1,no,insular endemic,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Hebius jingdongensis,R12963,yes,Squamata,Serpentes,Colubridae (Natricinae),2023,Oriental,7,no,mainland,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Hebius johannis,R06387,yes,Squamata,Serpentes,Colubridae (Natricinae),1908,Oriental,22,no,mainland,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Hebius kerinciensis,R06388,yes,Squamata,Serpentes,Colubridae (Natricinae),2003,Oriental,2,no,insular endemic,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Hebius khasiensis,R06389,yes,Squamata,Serpentes,Colubridae (Natricinae),1890,Oriental,64,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14
Hebius lacrima,R11616,yes,Squamata,Serpentes,Colubridae (Natricinae),2019,Oriental,2,yes,mainland,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Hebius leucomystax,R06390,yes,Squamata,Serpentes,Colubridae (Natricinae),2007,Oriental,17,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Hebius malnatei,R13556,yes,Squamata,Serpentes,Colubridae (Natricinae),2026,Oriental,12,no,mainland,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Hebius maximus,R12818,yes,Squamata,Serpentes,Colubridae (Natricinae),1962,Oriental,10,no,mainland,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Hebius metusia,R06391,yes,Squamata,Serpentes,Colubridae (Natricinae),1990,Oriental,3,no,mainland,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Hebius miyajimae,R06392,yes,Squamata,Serpentes,Colubridae (Natricinae),1931,Oriental,1,no,insular endemic,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Hebius modestus,R06393,yes,Squamata,Serpentes,Colubridae (Natricinae),1875,Oriental,8,no,mainland,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Hebius ngoclinhensis,R13551,yes,Squamata,Serpentes,Colubridae (Natricinae),2026,Oriental,4,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Hebius nigriventer,R12275,yes,Squamata,Serpentes,Colubridae (Natricinae),1925,Oriental,4,no,mainland,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Hebius octolineatus,R06396,yes,Squamata,Serpentes,Colubridae (Natricinae),1904,Oriental,15,no,mainland,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Hebius optatus,R06397,yes,Squamata,Serpentes,Colubridae (Natricinae),1966,Oriental,22,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,13
Hebius parallelus,R06398,yes,Squamata,Serpentes,Colubridae (Natricinae),1890,Oriental,10,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Hebius petersii,R06400,yes,Squamata,Serpentes,Colubridae (Natricinae),1893,Oriental,6,no,mainland,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Hebius popei,R06401,yes,Squamata,Serpentes,Colubridae (Natricinae),1925,Oriental,18,no,mainland,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Hebius pryeri,R06402,yes,Squamata,Serpentes,Colubridae (Natricinae),1887,Oriental,2,no,insular endemic,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Hebius sanguineus,R06403,yes,Squamata,Serpentes,Colubridae (Natricinae),1932,Oriental,9,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
Hebius sangzhiensis,R12001,yes,Squamata,Serpentes,Colubridae (Natricinae),2019,Oriental,2,yes,mainland,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8
Hebius sarasinorum,R06404,yes,Squamata,Serpentes,Colubridae (Natricinae),1896,Oriental,3,potentially,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Hebius sarawacensis,R06405,yes,Squamata,Serpentes,Colubridae (Natricinae),1872,Oriental,10,no,mainland,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
Hebius sauteri,R06406,yes,Squamata,Serpentes,Colubridae (Natricinae),1909,Oriental,32,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,13
Hebius septemlineatus,R12502,yes,Squamata,Serpentes,Colubridae (Natricinae),2021,Oriental,5,no,mainland,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Hebius shantianfangi,R13498,yes,Squamata,Serpentes,Colubridae (Natricinae),2025,Oriental,4,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Hebius taronensis,R06407,yes,Squamata,Serpentes,Colubridae (Natricinae),1940,Oriental,8,no,mainland,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
Hebius terrakarenorum,R12607,yes,Squamata,Serpentes,Colubridae (Natricinae),2022,Oriental,7,no,mainland,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Hebius venningi,R06408,yes,Squamata,Serpentes,Colubridae (Natricinae),1910,Oriental,15,no,mainland,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Hebius vibakari,R06409,yes,Squamata,Serpentes,Colubridae (Natricinae),1826,Palearctic,161,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14
Hebius viperinus,R06410,yes,Squamata,Serpentes,Colubridae (Natricinae),1901,Oriental,1,yes,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Hebius vogeli,R13547,yes,Squamata,Serpentes,Colubridae (Natricinae),2025,Oriental,17,no,mainland,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Hebius weixiensis,R12501,yes,Squamata,Serpentes,Colubridae (Natricinae),2021,Oriental,5,no,mainland,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Hebius yanbianensis,R11617,yes,Squamata,Serpentes,Colubridae (Natricinae),2018,Oriental,2,no,mainland,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8
Hebius youjiangensis,R12941,yes,Squamata,Serpentes,Colubridae (Natricinae),2023,Oriental,10,potentially,mainland,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Helicops acangussu,R12547,yes,Squamata,Serpentes,Colubridae (Dipsadinae),2021,Neotropic,27,no,mainland,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Helicops angulatus,R03031,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1758,Neotropic,854,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,16
Helicops apiaka,R03032,yes,Squamata,Serpentes,Colubridae (Dipsadinae),2013,Neotropic,12,no,mainland,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11
Helicops boitata,R11711,yes,Squamata,Serpentes,Colubridae (Dipsadinae),2019,Neotropic,5,yes,mainland,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Helicops carinicaudus,R03033,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1825,Neotropic,298,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,13
Helicops danieli,R03034,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1938,Neotropic,52,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Helicops gomesi,R03035,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1921,Neotropic,57,no,mainland,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Helicops hagmanni,R03036,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1910,Neotropic,131,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Helicops infrataeniatus,R03037,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1865,Neotropic,761,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,15
Helicops leopardinus,R03038,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1837,Neotropic,906,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,15
Helicops modestus,R03039,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1861,Neotropic,301,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14
Helicops nentur,R10641,yes,Squamata,Serpentes,Colubridae (Dipsadinae),2016,Neotropic,12,no,mainland,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Helicops pastazae,R03040,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1934,Neotropic,37,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,15
Helicops petersi,R03041,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1976,Neotropic,36,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12
Helicops phantasma,R12281,yes,Squamata,Serpentes,Colubridae (Dipsadinae),2021,Neotropic,12,no,mainland,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Helicops polylepis,R03042,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1861,Neotropic,165,no,mainland,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Helicops scalaris,R03043,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1865,Neotropic,19,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11
Helicops tapajonicus,R03044,yes,Squamata,Serpentes,Colubridae (Dipsadinae),2005,Neotropic,7,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
Helicops trivittatus,R03045,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1849,Neotropic,86,no,mainland,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10
Helicops yacu,R03046,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1975,Neotropic,8,no,mainland,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10
Heliobolus bivari,R12708,yes,Squamata,Sauria,Lacertidae,2022,Afrotropic,22,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Heliobolus crawfordi,R12709,yes,Squamata,Sauria,Lacertidae,2022,Afrotropic,33,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Heliobolus lugubris,R05387,yes,Squamata,Sauria,Lacertidae,1838,Afrotropic,645,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,17
Heliobolus neumanni,R05388,yes,Squamata,Sauria,Lacertidae,1905,Afrotropic,7,no,mainland,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Heliobolus nitidus,R05389,yes,Squamata,Sauria,Lacertidae,1872,Afrotropic,32,no,mainland,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
Heliobolus spekii,R05390,yes,Squamata,Sauria,Lacertidae,1872,Afrotropic,196,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,16
Hellenolacerta graeca,R05391,yes,Squamata,Sauria,Lacertidae,1886,Saharo-Sindian,72,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,18
Helminthophis flavoterminatus,R00751,yes,Squamata,Serpentes,Anomalepididae,1858,Neotropic,10,no,mainland,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Helminthophis frontalis,R00752,yes,Squamata,Serpentes,Anomalepididae,1860,Neotropic,15,no,mainland,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Helminthophis praeocularis,R00753,yes,Squamata,Serpentes,Anomalepididae,1924,Neotropic,9,no,mainland,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Heloderma alvarezi,R11976,yes,Squamata,Sauria,Helodermatidae,1956,Neotropic,73,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,14
Heloderma charlesbogerti,R11977,yes,Squamata,Sauria,Helodermatidae,1988,Neotropic,12,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,16
Heloderma exasperatum,R11978,yes,Squamata,Sauria,Helodermatidae,1956,Nearctic,35,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,16
Heloderma horridum,R05130,yes,Squamata,Sauria,Helodermatidae,1829,Neotropic,123,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,23
Heloderma suspectum,R05131,yes,Squamata,Sauria,Helodermatidae,1869,Nearctic,40,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25
Helophis schoutedeni,R01431,yes,Squamata,Serpentes,Colubridae (Natricinae),1942,Afrotropic,10,no,mainland,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Hemachatus haemachatus,R03486,yes,Squamata,Serpentes,Elapidae,1790,Afrotropic,413,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,18
Hemachatus nyangensis,R13072,yes,Squamata,Serpentes,Elapidae,2024,Afrotropic,2,no,mainland,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7
Hemerophis socotrae,R01432,yes,Squamata,Serpentes,Colubridae,1881,Afrotropic,39,no,insular endemic,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7
Hemiaspis damelii,R03487,yes,Squamata,Serpentes,Elapidae,1876,Australo-Pacific,111,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,15
Hemiaspis signata,R03488,yes,Squamata,Serpentes,Elapidae,1859,Australo-Pacific,592,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,16
Hemibungarus calligaster,R03489,yes,Squamata,Serpentes,Elapidae,1835,Oriental,34,no,insular endemic,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Hemibungarus gemianulis,R11771,yes,Squamata,Serpentes,Elapidae,1872,Oriental,21,no,insular endemic,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
Hemibungarus mcclungi,R11905,yes,Squamata,Serpentes,Elapidae,1922,Oriental,39,no,insular endemic,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
Hemicordylus capensis,R01942,yes,Squamata,Sauria,Cordylidae,1838,Afrotropic,230,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,18
Hemicordylus nebulosus,R01943,yes,Squamata,Sauria,Cordylidae,1995,Afrotropic,18,yes,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Hemidactylus aaronbaueri,R04309,yes,Squamata,Sauria,Gekkonidae,2008,Oriental,15,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Hemidactylus acanthopholis,R04310,yes,Squamata,Sauria,Gekkonidae,2014,Oriental,12,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
Hemidactylus achaemenidicus,R11953,yes,Squamata,Sauria,Gekkonidae,2019,Saharo-Sindian,1,yes,mainland,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Hemidactylus adensis,R04311,yes,Squamata,Sauria,Gekkonidae,2015,Saharo-Sindian,7,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Hemidactylus aemulus,R12628,yes,Squamata,Sauria,Gekkonidae,2022,Oriental,11,no,mainland,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Hemidactylus afarensis,R11954,yes,Squamata,Sauria,Gekkonidae,2020,Afrotropic,16,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Hemidactylus agrius,R04312,yes,Squamata,Sauria,Gekkonidae,1978,Neotropic,22,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14
Hemidactylus albituberculatus,R04313,yes,Squamata,Sauria,Gekkonidae,2012,Afrotropic,12,no,mainland,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7
Hemidactylus albivertebralis,R04314,yes,Squamata,Sauria,Gekkonidae,2012,Afrotropic,4,no,mainland,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Hemidactylus albofasciatus,R04315,yes,Squamata,Sauria,Gekkonidae,1963,Oriental,9,no,mainland,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,13
Hemidactylus albopunctatus,R04316,yes,Squamata,Sauria,Gekkonidae,1947,Afrotropic,14,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Hemidactylus alfarraji,R10642,yes,Squamata,Sauria,Gekkonidae,2016,Saharo-Sindian,3,no,mainland,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Hemidactylus alkiyumii,R04317,yes,Squamata,Sauria,Gekkonidae,2012,Saharo-Sindian,31,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Hemidactylus almakhwah,R12703,yes,Squamata,Sauria,Gekkonidae,2022,Saharo-Sindian,4,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Hemidactylus amarasinghei,R13340,yes,Squamata,Sauria,Gekkonidae,2025,Oriental,1,yes,mainland,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Hemidactylus angulatus,R04319,yes,Squamata,Sauria,Gekkonidae,1854,Afrotropic,260,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,18
Hemidactylus ansorgii,R04320,yes,Squamata,Sauria,Gekkonidae,1901,Afrotropic,47,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Hemidactylus aporus,R04321,yes,Squamata,Sauria,Gekkonidae,1906,Afrotropic,2,yes,insular endemic,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Hemidactylus aquilonius,R04322,yes,Squamata,Sauria,Gekkonidae,2007,Oriental,141,no,mainland,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Hemidactylus aravalliensis,R13574,yes,Squamata,Sauria,Gekkonidae,2026,Oriental,4,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Hemidactylus arnoldi,R04323,yes,Squamata,Sauria,Gekkonidae,1978,Afrotropic,2,potentially,mainland,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Hemidactylus asirensis,R10643,yes,Squamata,Sauria,Gekkonidae,2016,Saharo-Sindian,18,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Hemidactylus awashensis,R04324,yes,Squamata,Sauria,Gekkonidae,2015,Afrotropic,9,potentially,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Hemidactylus barbierii,R04325,yes,Squamata,Sauria,Gekkonidae,2007,Afrotropic,5,no,mainland,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Hemidactylus barbouri,R12228,yes,Squamata,Sauria,Gekkonidae,1942,Afrotropic,20,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Hemidactylus barodanus,R04326,yes,Squamata,Sauria,Gekkonidae,1901,Afrotropic,22,no,mainland,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7
Hemidactylus bavazzanoi,R04327,yes,Squamata,Sauria,Gekkonidae,1978,Afrotropic,5,no,mainland,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Hemidactylus bayonii,R04328,yes,Squamata,Sauria,Gekkonidae,1893,Afrotropic,24,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Hemidactylus benguellensis,R11216,yes,Squamata,Sauria,Gekkonidae,1893,Afrotropic,41,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Hemidactylus beninensis,R04330,yes,Squamata,Sauria,Gekkonidae,2006,Afrotropic,3,yes,mainland,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Hemidactylus biokoensis,R04331,yes,Squamata,Sauria,Gekkonidae,2014,Afrotropic,11,no,insular endemic,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Hemidactylus boavistensis,R12242,yes,Squamata,Sauria,Gekkonidae,1906,Afrotropic,5,no,insular endemic,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7
Hemidactylus bouvieri,R04332,yes,Squamata,Sauria,Gekkonidae,1870,Afrotropic,15,no,insular endemic,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10
Hemidactylus bowringii,R04333,yes,Squamata,Sauria,Gekkonidae,1845,Oriental,81,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,18
Hemidactylus brasilianus,R04334,yes,Squamata,Sauria,Gekkonidae,1935,Neotropic,50,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,15
Hemidactylus brookii,R04335,yes,Squamata,Sauria,Gekkonidae,1845,Oriental,33,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,19
